<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.26	22:01:00	4091.771	4092.761	4090.244	4092.632	87	0	480
2026.07.26	22:02:00	4092.461	4096.553	4091.175	4096.553	156	0	340
2026.07.26	22:03:00	4096.490	4096.490	4092.578	4093.294	180	0	340
2026.07.26	22:04:00	4093.236	4093.610	4089.004	4089.416	202	0	260
2026.07.26	22:05:00	4089.300	4091.982	4089.031	4089.625	149	0	340
2026.07.26	22:06:00	4089.675	4091.539	4089.610	4089.716	132	0	340
2026.07.26	22:07:00	4090.078	4091.087	4089.227	4089.784	114	0	340
2026.07.26	22:08:00	4089.713	4090.969	4089.087	4089.397	111	0	340
2026.07.26	22:09:00	4089.397	4090.191	4087.541	4088.485	120	0	260
2026.07.26	22:10:00	4088.478	4089.219	4087.640	4088.564	115	0	260
2026.07.26	22:11:00	4088.659	4088.844	4087.328	4087.419	90	0	260
2026.07.26	22:12:00	4087.445	4087.681	4085.753	4086.551	87	0	260
2026.07.26	22:13:00	4086.425	4086.733	4085.826	4086.487	79	0	260
2026.07.26	22:14:00	4086.478	4087.413	4086.104	4087.266	109	0	260
2026.07.26	22:15:00	4087.321	4087.321	4084.234	4084.405	169	0	260
2026.07.26	22:16:00	4084.406	4085.130	4083.688	4084.701	117	0	260
2026.07.26	22:17:00	4084.653	4086.319	4084.567	4085.636	106	0	260
2026.07.26	22:18:00	4085.551	4087.126	4084.578	4087.126	120	0	260
2026.07.26	22:19:00	4087.065	4088.058	4086.718	4087.728	106	0	260
2026.07.26	22:20:00	4087.759	4088.062	4087.163	4087.795	63	0	260
2026.07.26	22:21:00	4088.068	4088.788	4087.129	4088.449	108	0	260
2026.07.26	22:22:00	4088.287	4090.202	4087.930	4089.700	101	0	260
2026.07.26	22:23:00	4089.609	4089.609	4087.442	4087.675	96	0	260
2026.07.26	22:24:00	4087.673	4088.391	4087.481	4087.603	59	0	260
2026.07.26	22:25:00	4087.515	4087.859	4086.227	4086.769	74	0	260
2026.07.26	22:26:00	4086.769	4087.620	4085.965	4086.297	105	0	260
2026.07.26	22:27:00	4085.977	4086.927	4085.977	4086.540	63	0	260
2026.07.26	22:28:00	4086.541	4086.541	4085.527	4086.056	50	0	260
2026.07.26	22:29:00	4085.952	4086.891	4085.467	4086.575	78	0	260
2026.07.26	22:30:00	4086.513	4087.192	4085.428	4087.155	115	0	260
2026.07.26	22:31:00	4087.318	4087.829	4086.114	4087.829	74	0	260
2026.07.26	22:32:00	4087.812	4091.361	4087.764	4091.235	84	0	260
2026.07.26	22:33:00	4091.316	4091.918	4090.872	4091.001	73	0	260
2026.07.26	22:34:00	4090.941	4091.583	4090.796	4091.583	62	0	260
2026.07.26	22:35:00	4091.554	4093.056	4091.505	4092.528	89	0	260
2026.07.26	22:36:00	4092.535	4092.707	4091.533	4092.137	55	0	260
2026.07.26	22:37:00	4092.181	4092.387	4091.422	4092.381	63	0	260
2026.07.26	22:38:00	4092.113	4092.623	4089.757	4090.342	78	0	260
2026.07.26	22:39:00	4090.070	4091.182	4089.857	4090.379	88	0	260
2026.07.26	22:40:00	4090.385	4092.372	4090.111	4091.573	109	0	260
2026.07.26	22:41:00	4091.508	4092.807	4091.411	4091.788	72	0	260
2026.07.26	22:42:00	4091.644	4092.011	4090.656	4090.656	64	0	260
2026.07.26	22:43:00	4090.888	4091.282	4090.270	4090.765	64	0	260
2026.07.26	22:44:00	4090.822	4091.589	4090.618	4091.152	77	0	260
2026.07.26	22:45:00	4091.116	4091.455	4090.511	4091.281	91	0	260
2026.07.26	22:46:00	4091.008	4092.420	4091.008	4092.116	68	0	260
2026.07.26	22:47:00	4092.052	4092.825	4091.341	4091.807	93	0	260
2026.07.26	22:48:00	4091.806	4093.750	4091.605	4092.390	123	0	260
2026.07.26	22:49:00	4092.443	4092.443	4090.071	4090.092	94	0	260
2026.07.26	22:50:00	4090.017	4091.469	4090.017	4091.436	61	0	260
2026.07.26	22:51:00	4091.436	4092.117	4091.400	4091.456	75	0	260
2026.07.26	22:52:00	4091.749	4091.948	4090.831	4091.272	61	0	260
2026.07.26	22:53:00	4091.272	4091.426	4090.645	4091.092	56	0	260
2026.07.26	22:54:00	4091.092	4091.784	4091.019	4091.545	51	0	260
2026.07.26	22:55:00	4091.814	4091.944	4089.140	4089.712	101	0	260
2026.07.26	22:56:00	4089.689	4090.431	4088.883	4090.312	86	0	260
2026.07.26	22:57:00	4090.330	4091.148	4090.330	4090.555	59	0	260
2026.07.26	22:58:00	4090.522	4091.443	4090.001	4091.128	68	0	260
2026.07.26	22:59:00	4091.063	4091.234	4089.778	4089.778	73	0	260
2026.07.26	23:00:00	4089.705	4091.305	4089.705	4090.386	105	0	260
2026.07.26	23:01:00	4090.322	4090.488	4088.685	4088.747	77	0	260
2026.07.26	23:02:00	4088.750	4089.083	4087.630	4088.063	77	0	260
2026.07.26	23:03:00	4087.907	4088.372	4087.128	4087.999	93	0	260
2026.07.26	23:04:00	4087.706	4087.956	4087.017	4087.366	73	0	260
2026.07.26	23:05:00	4087.423	4088.346	4087.391	4088.035	62	0	260
2026.07.26	23:06:00	4088.194	4088.523	4087.636	4087.636	72	0	240
2026.07.26	23:07:00	4087.939	4088.024	4086.829	4087.419	56	0	260
2026.07.26	23:08:00	4087.144	4087.950	4086.979	4087.673	64	0	240
2026.07.26	23:09:00	4087.609	4087.684	4086.908	4087.078	55	0	240
2026.07.26	23:10:00	4087.224	4087.564	4086.971	4087.240	66	0	260
2026.07.26	23:11:00	4087.406	4087.617	4085.193	4085.914	82	0	260
2026.07.26	23:12:00	4085.901	4086.129	4085.493	4085.977	35	0	260
2026.07.26	23:13:00	4085.979	4086.030	4085.530	4085.831	47	0	240
2026.07.26	23:14:00	4085.814	4086.566	4084.318	4084.926	78	0	240
2026.07.26	23:15:00	4084.719	4086.325	4084.719	4085.188	99	0	240
2026.07.26	23:16:00	4085.188	4085.377	4084.294	4084.869	63	0	240
2026.07.26	23:17:00	4084.624	4085.742	4084.520	4085.472	68	0	240
2026.07.26	23:18:00	4085.472	4085.796	4085.130	4085.382	62	0	240
2026.07.26	23:19:00	4085.377	4085.377	4084.653	4085.062	84	0	240
2026.07.26	23:20:00	4084.814	4085.801	4084.642	4085.075	72	0	240
2026.07.26	23:21:00	4085.046	4086.099	4084.699	4085.819	78	0	240
2026.07.26	23:22:00	4085.812	4086.198	4085.166	4085.166	78	0	240
2026.07.26	23:23:00	4085.366	4085.886	4083.583	4084.410	129	0	240
2026.07.26	23:24:00	4084.373	4085.345	4083.599	4084.091	99	0	240
2026.07.26	23:25:00	4084.139	4085.069	4084.139	4084.896	82	0	240
2026.07.26	23:26:00	4084.817	4084.979	4083.773	4084.257	74	0	240
2026.07.26	23:27:00	4084.505	4085.597	4084.266	4084.864	72	0	240
2026.07.26	23:28:00	4084.877	4085.235	4084.274	4084.488	60	0	240
