<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.07.26	22:01:30.255	4091.771	4092.251			6
2026.07.26	22:01:30.271	4091.676	4092.156			6
2026.07.26	22:01:30.626	4092.261	4092.741			6
2026.07.26	22:01:31.305	4092.344	4092.824			6
2026.07.26	22:01:32.242	4091.937	4092.417			6
2026.07.26	22:01:32.262	4091.816	4092.296			6
2026.07.26	22:01:32.309	4091.908	4092.388			6
2026.07.26	22:01:32.442	4092.094	4092.574			6
2026.07.26	22:01:32.478	4092.178	4092.658			6
2026.07.26	22:01:32.483	4092.287	4092.767			6
2026.07.26	22:01:32.689	4092.407	4092.887			6
2026.07.26	22:01:32.693	4092.489	4092.969			6
2026.07.26	22:01:33.761	4092.527	4093.007			6
2026.07.26	22:01:34.848	4092.498	4092.978			6
2026.07.26	22:01:34.904	4092.594	4093.074			6
2026.07.26	22:01:36.468	4092.609	4093.089			6
2026.07.26	22:01:37.555	4092.673	4093.153			6
2026.07.26	22:01:38.557	4092.655	4093.135			6
2026.07.26	22:01:38.576	4092.443	4092.923			6
2026.07.26	22:01:38.596	4091.943	4092.423			6
2026.07.26	22:01:38.648	4091.866	4092.346			6
2026.07.26	22:01:38.667	4091.770	4092.250			6
2026.07.26	22:01:38.693	4091.676	4092.156			6
2026.07.26	22:01:38.857	4091.888	4092.368			6
2026.07.26	22:01:38.858	4091.974	4092.454			6
2026.07.26	22:01:38.919	4092.190	4092.670			6
2026.07.26	22:01:40.642	4092.094	4092.574			6
2026.07.26	22:01:40.674	4092.275	4092.755			6
2026.07.26	22:01:40.682	4092.425	4092.905			6
